HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,Season
Blackburn,Bolton,1,2,A,2.1,3.4,3.5,1.73,2.08,2011
Wolves,Norwich,2,2,D,2.0,3.5,3.75,1.75,2.06,2011
Aston Villa,Arsenal,1,2,A,5.0,3.6,1.73,1.76,2.04,2011
Everton,Swansea,1,0,H,1.57,3.75,6.5,2.03,1.77,2011
Fulham,Man United,0,5,A,5.0,3.6,1.73,1.94,1.85,2011
Man City,Stoke,3,0,H,1.22,6.0,15.0,1.49,2.52,2011
Newcastle,West Brom,2,3,A,2.0,3.5,3.75,1.85,1.93,2011
QPR,Sunderland,2,3,A,2.5,3.3,2.88,2.01,1.79,2011
Wigan,Liverpool,0,0,D,7.0,4.0,1.5,1.97,1.82,2011
Tottenham,Chelsea,1,1,D,2.6,3.4,2.7,1.78,2.01,2011
Bolton,Newcastle,0,2,A,2.5,3.4,2.8,1.69,2.1,2011
Chelsea,Fulham,1,1,D,1.3,5.0,12.0,1.68,2.12,2011
Liverpool,Blackburn,1,1,D,1.25,5.5,13.0,1.58,2.27,2011
Man United,Wigan,5,0,H,1.14,7.5,21.0,1.43,2.64,2011
Stoke,Aston Villa,0,0,D,1.91,3.4,4.2,2.0,1.78,2011
Sunderland,Everton,1,1,D,2.4,3.25,3.0,2.04,1.73,2011
West Brom,Man City,0,0,D,7.0,4.5,1.44,1.59,2.26,2011
Arsenal,Wolves,1,1,D,1.22,6.0,15.0,1.49,2.5,2011
Norwich,Tottenham,0,2,A,4.5,3.6,1.8,1.63,2.2,2011
Swansea,QPR,1,1,D,2.0,3.4,3.8,2.03,1.74,2011
Liverpool,Newcastle,3,1,H,1.53,4.0,6.5,1.95,1.83,2011
Arsenal,QPR,1,0,H,1.25,5.5,13.0,1.55,2.34,2011
Bolton,Wolves,1,1,D,2.2,3.25,3.4,1.74,2.05,2011
Chelsea,Aston Villa,1,3,A,1.29,5.0,13.0,1.58,2.27,2011
Man United,Blackburn,2,3,A,1.13,8.0,26.0,1.38,2.87,2011
Norwich,Fulham,1,1,D,2.6,3.25,2.75,1.9,1.88,2011
Stoke,Wigan,2,2,D,1.67,3.6,5.5,1.88,1.9,2011
Swansea,Tottenham,1,1,D,5.5,3.6,1.67,1.84,1.94,2011
Sunderland,Man City,1,0,H,6.5,4.0,1.53,1.7,2.11,2011
West Brom,Everton,0,1,A,2.6,3.25,2.75,2.06,1.74,2011
Aston Villa,Swansea,0,2,A,1.83,3.4,4.75,2.11,1.7,2011
Blackburn,Stoke,1,2,A,2.5,3.25,2.88,1.88,1.89,2011
Fulham,Arsenal,2,1,H,4.0,3.5,1.91,1.88,1.89,2011
QPR,Norwich,1,2,A,2.1,3.4,3.5,1.89,1.88,2011
Wolves,Chelsea,1,2,A,6.0,4.0,1.57,1.76,2.03,2011
Man City,Liverpool,3,0,H,1.91,3.4,4.2,1.98,1.81,2011
Tottenham,West Brom,1,0,H,1.33,5.0,10.0,1.61,2.27,2011
Wigan,Sunderland,1,4,A,2.63,3.25,2.75,2.05,1.75,2011
Everton,Bolton,1,2,A,1.5,4.0,7.0,1.87,1.91,2011
Newcastle,Man United,3,0,H,5.0,3.6,1.73,1.84,1.94,2011
Tottenham,Everton,2,0,H,1.53,3.8,7.0,1.92,1.85,2011
Aston Villa,Everton,1,1,D,2.4,3.25,3.0,2.2,1.65,2011
Blackburn,Fulham,3,1,H,3.0,3.3,2.38,1.92,1.86,2011
Chelsea,Sunderland,1,0,H,1.4,4.5,8.5,1.64,2.21,2011
Liverpool,Stoke,0,0,D,1.4,4.33,9.0,1.85,1.93,2011
Man United,Bolton,3,0,H,1.14,8.0,17.0,1.34,3.05,2011
Tottenham,Wolves,1,1,D,1.25,5.5,13.0,1.51,2.42,2011
West Brom,Norwich,1,2,A,2.0,3.4,3.8,1.8,1.99,2011
Newcastle,QPR,1,0,H,1.73,3.6,5.0,1.89,1.89,2011
Swansea,Arsenal,3,2,H,4.75,3.5,1.8,1.93,1.85,2011
Wigan,Man City,0,1,A,9.0,4.33,1.4,1.62,2.25,2011
Bolton,Liverpool,3,1,H,6.0,3.75,1.62,1.82,1.96,2011
Everton,Blackburn,1,1,D,1.53,4.0,6.5,1.83,1.95,2011
Fulham,Newcastle,5,2,H,2.0,3.4,3.8,2.03,1.77,2011
Norwich,Chelsea,0,0,D,5.5,4.0,1.62,1.59,2.27,2011
QPR,Wigan,3,1,H,2.0,3.4,3.8,2.04,1.76,2011
Stoke,West Brom,1,2,A,1.91,3.4,4.2,1.98,1.81,2011
Sunderland,Swansea,2,0,H,1.91,3.4,4.2,2.16,1.67,2011
Wolves,Aston Villa,2,3,A,2.5,3.25,2.88,2.05,1.76,2011
Arsenal,Man United,1,2,A,2.8,3.4,2.5,1.79,2.0,2011
