HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Avg>2.5,Avg<2.5
Burnley,Fulham,1,1,D,2.75,3.2,2.7,2.29,1.63
Everton,Man City,1,3,A,8.5,5.5,1.33,1.64,2.27
Wolves,Leeds,1,0,H,2.37,3.3,3.0,1.88,1.94
Southampton,Chelsea,1,1,D,5.0,3.8,1.7,1.88,1.95
Burnley,West Brom,0,0,D,2.0,3.3,4.0,2.2,1.68
Liverpool,Everton,0,2,A,1.44,4.5,7.0,1.6,2.36
Fulham,Sheffield United,1,0,H,2.15,3.2,3.6,2.36,1.6
West Ham,Tottenham,2,1,H,2.62,3.4,2.7,1.98,1.84
Aston Villa,Leicester,1,2,A,2.87,3.5,2.4,1.76,2.07
Arsenal,Man City,0,1,A,6.5,4.33,1.5,1.76,2.08
Man United,Newcastle,3,1,H,1.28,5.5,10.0,1.56,2.43
Brighton,Crystal Palace,1,2,A,1.7,3.5,5.5,2.21,1.67
Leeds,Southampton,3,0,H,2.25,3.5,3.1,1.66,2.24
Man City,West Ham,2,1,H,1.22,6.5,12.0,1.53,2.51
West Brom,Brighton,1,0,H,4.2,3.3,1.95,2.14,1.72
Leeds,Aston Villa,0,1,A,2.15,3.6,3.2,1.61,2.34
Newcastle,Wolves,1,1,D,3.5,3.2,2.2,2.35,1.6
Crystal Palace,Fulham,0,0,D,3.5,3.2,2.2,2.34,1.6
Leicester,Arsenal,1,3,A,2.5,3.4,2.8,1.97,1.86
Tottenham,Burnley,4,0,H,1.53,4.0,6.5,1.87,1.96
Chelsea,Man United,0,0,D,2.15,3.4,3.4,1.93,1.89
Sheffield United,Liverpool,0,2,A,8.0,5.0,1.36,1.66,2.24
Everton,Southampton,1,0,H,2.15,3.5,3.3,1.96,1.86
Man City,Wolves,4,1,H,1.18,7.0,15.0,1.72,2.14
Burnley,Leicester,1,1,D,4.0,3.25,2.0,2.1,1.75
Sheffield United,Aston Villa,1,0,H,3.75,3.4,2.05,2.16,1.71
Crystal Palace,Man United,0,0,D,8.0,4.75,1.4,1.77,2.07
Fulham,Tottenham,0,1,A,4.0,3.6,1.9,2.01,1.81
West Brom,Everton,0,1,A,4.33,3.6,1.83,1.95,1.87
Liverpool,Chelsea,0,1,A,2.25,3.6,3.0,1.78,2.05
Burnley,Arsenal,1,1,D,5.5,4.0,1.61,1.93,1.9
Sheffield United,Southampton,0,2,A,3.6,3.5,2.0,2.23,1.66
Aston Villa,Wolves,0,0,D,2.37,3.25,3.1,2.13,1.73
Brighton,Leicester,1,2,A,2.55,3.25,2.8,2.2,1.68
West Brom,Newcastle,0,0,D,2.37,3.2,3.1,2.25,1.65
Liverpool,Fulham,0,1,A,1.36,5.0,8.5,1.69,2.18
Man City,Man United,0,2,A,1.45,4.5,7.0,1.72,2.14
Tottenham,Crystal Palace,4,1,H,1.45,4.5,7.0,1.84,1.98
Chelsea,Everton,2,0,H,1.53,4.0,6.5,1.93,1.89
West Ham,Leeds,2,0,H,2.05,3.6,3.5,1.66,2.24
Man City,Southampton,5,2,H,1.18,7.5,15.0,1.51,2.59
Newcastle,Aston Villa,1,1,D,3.8,3.3,2.05,2.26,1.65
Leeds,Chelsea,0,0,D,4.75,4.0,1.7,1.77,2.07
Crystal Palace,West Brom,1,0,H,2.15,3.2,3.6,2.37,1.6
Everton,Burnley,1,2,A,1.83,3.5,4.5,2.09,1.76
Fulham,Man City,0,3,A,10.0,5.0,1.33,1.78,2.06
Southampton,Brighton,1,2,A,2.9,3.1,2.5,2.34,1.61
Leicester,Sheffield United,5,0,H,1.5,4.2,6.5,2.01,1.82
Arsenal,Tottenham,2,1,H,2.55,3.4,2.75,1.91,1.92
Man United,West Ham,1,0,H,1.83,3.6,4.33,1.89,1.94
Wolves,Liverpool,0,1,A,4.75,3.75,1.72,1.96,1.86
Fulham,Leeds,1,2,A,2.37,3.4,3.0,2.05,1.79
Brighton,Newcastle,3,0,H,1.66,3.5,6.0,2.26,1.65
West Ham,Arsenal,3,3,D,2.8,3.5,2.45,1.95,1.87
Aston Villa,Tottenham,0,2,A,2.9,3.3,2.45,1.85,1.97
Chelsea,West Brom,2,5,A,1.22,6.0,15.0,1.73,2.12
Leeds,Sheffield United,2,1,H,1.5,4.33,6.5,1.81,2.02
Leicester,Man City,0,2,A,6.0,4.2,1.53,1.91,1.92
Arsenal,Liverpool,0,3,A,3.1,3.7,2.15,1.78,2.06
Southampton,Burnley,3,2,H,2.05,3.3,3.8,2.14,1.71
Newcastle,Tottenham,2,2,D,5.5,4.0,1.6,1.88,1.94
Aston Villa,Fulham,3,1,H,2.25,3.3,3.3,2.2,1.68
Man United,Brighton,2,1,H,1.61,4.0,5.5,1.92,1.9
Everton,Crystal Palace,1,1,D,1.75,3.5,5.0,2.31,1.62
Wolves,West Ham,2,3,A,2.87,3.2,2.55,2.4,1.58
Fulham,Wolves,0,1,A,2.5,3.0,3.1,2.61,1.5
Man City,Leeds,1,2,A,1.28,5.75,10.0,1.47,2.69
Liverpool,Aston Villa,2,1,H,1.5,4.33,6.5,1.62,2.33
Crystal Palace,Chelsea,1,4,A,7.0,3.8,1.53,2.08,1.76
Burnley,Newcastle,1,2,A,2.3,3.1,3.4,2.39,1.59
West Ham,Leicester,3,2,H,3.0,3.3,2.37,1.96,1.87
Tottenham,Man United,1,3,A,2.87,3.4,2.45,1.86,1.96
Sheffield United,Arsenal,0,3,A,6.5,3.75,1.57,2.01,1.82
West Brom,Southampton,3,0,H,3.6,3.3,2.1,2.03,1.8
Brighton,Everton,0,0,D,2.25,3.3,3.3,2.21,1.68
Everton,Tottenham,2,2,D,3.4,3.5,2.1,1.87,1.96
Newcastle,West Ham,3,2,H,3.5,3.5,2.05,1.89,1.94
Wolves,Sheffield United,1,0,H,1.66,3.5,5.75,2.33,1.61
Arsenal,Fulham,1,1,D,1.7,3.8,4.8,2.04,1.79
Man United,Burnley,3,1,H,1.33,5.25,9.0,1.76,2.09
Leeds,Liverpool,1,1,D,4.5,4.33,1.66,1.52,2.53
Chelsea,Brighton,0,0,D,1.57,4.0,6.0,2.16,1.71
Tottenham,Southampton,2,1,H,1.75,3.8,4.5,1.75,2.1
Aston Villa,Man City,1,2,A,9.0,4.75,1.36,1.68,2.21
Leicester,West Brom,3,0,H,1.53,3.8,6.0,1.93,1.9
Arsenal,Everton,0,1,A,2.0,3.5,3.75,2.0,1.84
Liverpool,Newcastle,1,1,D,1.22,6.5,12.0,1.54,2.5
West Ham,Chelsea,0,1,A,4.75,3.6,1.75,2.0,1.84
Sheffield United,Brighton,1,0,H,5.25,3.4,1.75,2.35,1.6
Wolves,Burnley,0,4,A,2.0,3.4,3.9,2.31,1.62
Leeds,Man United,0,0,D,4.0,4.2,1.75,1.59,2.4
Aston Villa,West Brom,2,2,D,1.85,3.6,4.2,1.94,1.88
Leicester,Crystal Palace,2,1,H,1.4,4.33,8.5,2.04,1.79
Southampton,Leicester,1,1,D,3.8,3.8,1.9,1.86,1.97
Crystal Palace,Man City,0,2,A,10.0,5.0,1.33,1.72,2.15
Brighton,Leeds,2,0,H,2.05,3.5,3.5,1.91,1.92
Chelsea,Fulham,2,0,H,1.44,4.4,7.5,2.03,1.8
Everton,Aston Villa,1,2,A,1.95,3.6,3.8,1.91,1.92
Newcastle,Arsenal,0,2,A,3.6,3.6,2.0,1.78,2.06
Tottenham,Sheffield United,4,0,H,1.25,6.0,12.0,1.69,2.19
West Brom,Wolves,1,1,D,2.9,3.2,2.5,2.2,1.69
Burnley,West Ham,1,2,A,3.1,3.6,2.2,1.9,1.92
